symbol,name,reportDate,fiscalDateEnding,estimate,currency
AMIVF,AMIVF,2022-10-31,2022-09-30,,USD
AMK,Assetmark Financial Holdings Inc,2022-11-08,2022-09-30,0.4182,USD
AMKBY,AMKBY,2022-11-02,2022-09-30,2.23,USD
AMKR,AMKOR Technology Inc,2022-10-31,2022-09-30,0.7997,USD
AMLX,Amylyx Pharmaceuticals Inc,2022-11-30,2022-09-30,-0.9322,USD
AMN,AMN Healthcare Services Inc,2022-11-03,2022-09-30,2.31,USD
AMNB,American National Bankshares Inc,2023-01-19,2022-12-31,0.84,USD
AMNL,AMNL,2022-11-30,2022-09-30,0,USD
AMOT,Allied Motion Technologies Inc,2022-11-02,2022-09-30,0.365,USD
AMPE,AMPE,2022-11-10,2022-09-30,-0.02,USD
AMPG,Amplitech Group Inc,2022-11-15,2022-09-30,-0.02,USD
AMPH,Amphastar Pharmaceuticals Inc,2022-11-10,2022-09-30,0.404,USD
AMPL,Amplitude Inc - Class A,2022-11-08,2022-09-30,-0.1044,USD
AMPS,Altus Power Inc - Class A,2022-11-03,2022-09-30,0.0268,USD
AMPY,Amplify Energy Corp,2022-11-10,2022-09-30,-0.29,USD
AMR,Alpha Metallurgical Resources Inc,2022-11-04,2022-09-30,16.84,USD
AMRC,Ameresco Inc - Class A,2022-11-01,2022-09-30,0.465,USD
AMRK,A-Mark Precious Metals Inc,2022-11-15,2022-09-30,1.61,USD
AMRN,Amarin Corp,2022-11-02,2022-09-30,-0.0567,USD
AMRS,Amyris Inc,2022-11-10,2022-09-30,-0.08,USD
AMRX,Amneal Pharmaceuticals Inc - Class A,2022-11-04,2022-09-30,0.1886,USD
AMS,American Shared Hospital Services,2022-11-10,2022-09-30,,USD
AMSC,American Superconductor Corp,2022-11-08,2022-09-30,-0.205,USD
AMSIY,AMSIY,2022-11-10,2022-09-30,0,ZAR
AMST,Amesite Inc,2022-11-30,2022-09-30,-0.04,USD
AMSWA,American Software Inc - Class A,2022-12-01,2022-10-31,0.0825,USD
AMSYF,AMSYF,2022-11-10,2022-09-30,1.59,USD
AMTCQ,AMTCQ,2022-11-15,2022-09-30,0,USD
AMTD,AMTD IDEA Group,2022-11-30,2022-09-30,0,HKD
AMTI,Applied Molecular Transport Inc,2022-11-17,2022-09-30,-0.6467,USD
AMTX,Aemetis Inc,2022-11-10,2022-09-30,-0.3183,USD
AMTY,AMTY,2022-11-30,2022-09-30,0,USD
AMWD,American Woodmark Corp,2022-11-29,2022-10-31,1.92,USD
